order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,payment_type,payment_installments,payment_value,customer_city,customer_state,order_item_id,product_id,seller_id,price,freight_value,seller_city,seller_state,product_category_name_english
1d43ba66c2170cd8c67e694e5c0e41d8,20fd39c235473956087bac5084340cfc,delivered,2018-05-18 00:32:34,2018-05-18 03:56:23,2018-05-18 13:39:00,2018-06-01 19:36:29,2018-06-19 00:00:00,credit_card,3,130.2,rio de janeiro,RJ,1,5742ee1a5d941486111ab986f6611735,99a54764c341d5dc80b4a8fac4eba3fb,39.8,90.4,sao paulo,SP,housewares
b10fb9234ad5eba5cbc090ddd8950c6d,b4f17fea2f54f7ceb19bcf5a608c6cf9,delivered,2018-06-02 21:17:44,2018-06-02 21:31:51,2018-06-05 07:48:00,2018-06-12 18:10:59,2018-07-12 00:00:00,credit_card,1,83.33,sarandi,PR,1,801cbc289593826559bed08171034485,a3a38f4affed601eb87a97788c949667,65.0,18.33,joinville,SC,fashion_male_clothing
12cac2e81071090f280a21a9e267ec86,f8383a8a47282d7db6292a684d9c791b,delivered,2018-04-16 09:06:18,2018-04-17 05:50:06,2018-04-19 23:18:48,2018-05-02 22:28:42,2018-05-21 00:00:00,boleto,1,208.0,rio de janeiro,RJ,1,c7671984ff3e8376c2998f75bf1447d9,06e5eefc71ec47ae763c5c6f8db7064f,189.96,18.04,porto alegre,RS,construction_tools_safety
ff9ec55d9d4d0d2c46cdb45f4c1b4910,fde1321a08bd8310dad05e3006676906,delivered,2018-05-16 10:57:01,2018-05-16 11:19:10,2018-05-17 16:22:00,2018-05-24 21:03:51,2018-06-19 00:00:00,credit_card,2,162.16,campinas,SP,1,e59dd207c69d86e890febadc796d1078,e9bc59e7b60fc3063eb2290deda4cced,148.0,14.16,maringa,PR,cool_stuff
8881dc280b8de23e6913aaee6bf61bb5,1409d4984ed93c6cd3098952b9ff8ff1,delivered,2018-06-07 18:42:34,2018-06-07 18:55:58,2018-06-08 12:03:00,2018-06-15 18:42:41,2018-07-13 00:00:00,credit_card,2,173.91,curitiba,PR,1,d1c427060a0f73f6b889a5c7c61f2ac4,a1043bafd471dff536d0c462352beb48,109.99,63.92,ilicinea,MG,computers_accessories
6bc5fdbc258b650edb7ff262dfbabf98,1cabcf0140fab47b6bedc1a05f82b8b8,delivered,2018-04-24 13:13:10,2018-04-24 17:26:37,2018-04-25 15:00:00,2018-05-04 21:06:38,2018-05-22 00:00:00,credit_card,5,215.27,marica,RJ,1,b047c3de5919c05d6aa9e3ba5494b993,d650b663c3b5f6fb392b6326366efa9a,199.0,16.27,cotia,SP,watches_gifts
6a41b5634ac2837b5b88bf9796f9021e,4a984bb438e7bde091f75e16211ded9a,delivered,2018-04-13 21:40:26,2018-04-13 21:55:18,2018-04-14 16:47:58,2018-04-25 21:32:04,2018-05-14 00:00:00,credit_card,6,169.61,formosa,GO,1,8c292ca193d326152e335d77176746f0,7e1fb0a3ebfb01ffb3a7dae98bf3238d,152.0,17.61,franca,SP,health_beauty
f3ac96719aada8e7d197ff55ddea4d12,cc680f5a69a1fa2b717acc340313c4e4,delivered,2018-08-15 19:38:26,2018-08-15 19:50:26,2018-08-16 11:53:00,2018-08-23 22:18:55,2018-08-31 00:00:00,credit_card,2,48.65,lavras,MG,1,a92930c327948861c015c919a0bcb4a8,6560211a19b47992c3666cc44a7e94c0,78.0,18.65,sao paulo,SP,watches_gifts
d7b1b205f635a07e904e5c4069b6859d,e1e157f3dbfc5df809751ed8f7fbfd5a,delivered,2018-04-24 15:51:09,2018-04-24 18:59:35,2018-04-25 15:02:00,2018-04-30 23:38:30,2018-05-09 00:00:00,voucher,1,58.02,cotia,SP,1,69b45497bec8e36af6fd1a31b2cd8f9f,7ade73f1b9b4e965f9009a4c3a7e2c15,79.9,13.92,bauru,SP,home_appliances
4312fbcaf802f48339fed28e13a5dcc7,97b57b892a79fbd7ef5fe13889e24696,delivered,2018-07-15 18:25:42,2018-07-15 18:43:52,2018-07-16 11:07:00,2018-07-20 20:58:36,2018-08-03 00:00:00,credit_card,1,78.51,diamantina,MG,1,ced65a7af145a0974ffb661e7b20b5ae,b499c00f28f4b7069ff6550af8c1348a,59.99,18.52,limeira,SP,luggage_accessories
